10000
2000
701	465
259	912
532	303
903	514
636	633
671	122
685	544
743	723
996	603
814	727
910	576
145	631
50	340
398	552
574	970
828	224
812	159
570	902
875	648
914	248
660	722
499	127
413	647
394	181
925	254
543	151
991	115
855	289
69	397
81	405
314	563
157	148
645	245
322	447
343	626
944	549
523	658
736	146
325	651
970	698
955	745
163	960
510	649
878	976
383	827
552	744
260	137
730	673
998	586
626	921
504	941
674	228
603	959
43	817
441	432
341	327
293	598
305	190
658	639
986	403
451	890
919	126
914	937
599	155
123	667
828	102
942	839
226	259
672	863
412	493
325	102
691	755
60	674
644	388
792	438
819	602
27	607
326	242
256	862
800	336
50	164
492	797
915	351
432	346
831	860
30	578
1000	345
143	300
701	979
34	106
936	462
879	636
296	212
597	954
243	264
260	191
341	354
407	473
716	482
803	893
145	368
292	373
601	948
563	466
823	746
735	129
446	546
97	545
438	703
352	246
660	137
743	867
355	454
960	457
349	784
609	665
560	219
913	662
844	247
272	388
682	785
553	215
265	186
158	790
228	711
938	955
629	288
866	259
896	239
303	389
161	156
288	516
415	602
802	535
158	197
361	104
731	566
167	872
978	989
701	965
347	909
450	395
758	760
115	908
431	420
727	710
198	438
334	506
582	162
699	301
324	302
949	681
120	555
963	656
815	332
385	835
338	867
696	227
351	106
139	103
223	898
165	833
153	191
583	367
245	273
412	414
403	378
330	273
627	185
96	401
746	548
551	524
215	333
172	937
64	827
521	802
111	760
381	990
153	894
860	140
52	209
613	859
827	581
61	932
636	970
578	303
487	848
988	507
844	869
696	362
887	610
615	425
662	801
618	776
214	190
6	758
782	723
540	170
800	209
287	779
230	669
471	472
431	573
506	783
259	519
441	344
375	832
152	425
338	320
625	251
78	737
604	149
114	253
686	501
906	797
18	664
594	590
444	969
940	764
914	792
419	588
509	407
5	491
796	292
591	132
359	514
921	794
349	664
316	117
799	231
175	131
234	499
405	926
3	436
77	276
684	247
921	525
718	885
126	571
860	761
149	938
439	714
54	276
491	974
929	180
211	766
112	120
146	169
897	386
952	575
741	654
304	504
133	569
415	942
604	500
912	526
213	925
536	945
230	492
553	631
591	335
694	400
346	542
180	663
719	310
205	640
61	430
586	812
763	717
293	522
840	108
724	151
812	783
93	858
604	808
174	788
332	763
471	239
395	968
458	617
879	588
996	245
867	588
30	847
550	269
626	446
974	488
994	426
500	797
228	133
228	240
462	849
753	190
922	976
61	910
620	631
95	463
647	755
888	831
237	136
361	553
108	949
510	449
937	259
577	405
361	447
789	888
656	573
938	936
553	636
962	975
960	825
120	611
945	304
735	184
953	584
665	781
236	616
224	360
917	212
173	699
542	344
879	424
533	496
443	174
619	810
574	662
936	607
458	445
997	641
281	628
122	859
15	583
782	861
630	705
875	577
683	263
313	771
340	502
139	609
108	618
30	117
452	544
396	180
678	732
602	682
108	120
471	971
378	966
729	988
494	489
550	116
584	172
510	362
307	598
940	198
294	538
830	215
923	598
770	318
67	590
406	100
299	305
615	618
263	453
515	722
331	644
159	739
927	283
282	628
772	272
92	974
797	832
746	535
348	678
358	601
372	488
791	297
626	244
639	433
6	755
785	592
330	997
564	779
780	361
907	310
17	130
389	316
618	403
75	358
838	396
596	379
498	222
57	218
346	269
845	304
996	865
60	609
210	120
226	125
64	159
71	771
24	345
934	571
692	689
634	456
490	319
575	867
565	436
697	442
903	846
94	165
723	345
464	282
546	240
484	304
922	367
235	404
683	596
103	474
132	220
962	711
676	144
568	521
514	409
988	146
951	276
900	975
573	883
906	439
